"Step","run_11 - train_loss","run_11 - train_loss__MIN","run_11 - train_loss__MAX"
"1","9.270004272460938","9.270004272460938","9.270004272460938"
"12","5.024003982543945","5.024003982543945","5.024003982543945"
"17","4.643126964569092","4.643126964569092","4.643126964569092"
"18","4.475521564483643","4.475521564483643","4.475521564483643"
"22","4.43019962310791","4.43019962310791","4.43019962310791"
"26","4.18035888671875","4.18035888671875","4.18035888671875"
"27","4.176314353942871","4.176314353942871","4.176314353942871"
"34","4.096217155456543","4.096217155456543","4.096217155456543"
"36","4.053564071655273","4.053564071655273","4.053564071655273"
"49","3.738826274871826","3.738826274871826","3.738826274871826"
"59","3.614656925201416","3.614656925201416","3.614656925201416"
"60","3.5667643547058105","3.5667643547058105","3.5667643547058105"
"63","3.5263781547546387","3.5263781547546387","3.5263781547546387"
"64","3.555172920227051","3.555172920227051","3.555172920227051"
"67","3.5624477863311768","3.5624477863311768","3.5624477863311768"
"71","3.524906635284424","3.524906635284424","3.524906635284424"
"73","3.4747443199157715","3.4747443199157715","3.4747443199157715"
"77","3.4310007095336914","3.4310007095336914","3.4310007095336914"
"78","3.4604687690734863","3.4604687690734863","3.4604687690734863"
"80","3.4985876083374023","3.4985876083374023","3.4985876083374023"
"88","3.3230972290039062","3.3230972290039062","3.3230972290039062"
"92","3.239358425140381","3.239358425140381","3.239358425140381"
"95","3.2654097080230713","3.2654097080230713","3.2654097080230713"
"97","3.4212136268615723","3.4212136268615723","3.4212136268615723"
"100","3.320338726043701","3.320338726043701","3.320338726043701"
"103","3.2413554191589355","3.2413554191589355","3.2413554191589355"
"106","3.241589069366455","3.241589069366455","3.241589069366455"
"119","3.0837340354919434","3.0837340354919434","3.0837340354919434"
"126","3.2899327278137207","3.2899327278137207","3.2899327278137207"
"140","3.159442901611328","3.159442901611328","3.159442901611328"
"143","3.0862269401550293","3.0862269401550293","3.0862269401550293"
"144","3.0489587783813477","3.0489587783813477","3.0489587783813477"
"146","3.053558349609375","3.053558349609375","3.053558349609375"
"149","3.0818932056427","3.0818932056427","3.0818932056427"
"151","3.0759811401367188","3.0759811401367188","3.0759811401367188"
"153","3.114706039428711","3.114706039428711","3.114706039428711"
"154","2.8378512859344482","2.8378512859344482","2.8378512859344482"
"155","3.040328025817871","3.040328025817871","3.040328025817871"
"157","2.978818416595459","2.978818416595459","2.978818416595459"
"160","2.9838716983795166","2.9838716983795166","2.9838716983795166"
"163","2.687779426574707","2.687779426574707","2.687779426574707"
"164","2.9485626220703125","2.9485626220703125","2.9485626220703125"
"167","2.972806930541992","2.972806930541992","2.972806930541992"
"171","2.969954013824463","2.969954013824463","2.969954013824463"
"172","2.9101812839508057","2.9101812839508057","2.9101812839508057"
"173","2.888235092163086","2.888235092163086","2.888235092163086"
"174","3.0142550468444824","3.0142550468444824","3.0142550468444824"
"175","2.889782428741455","2.889782428741455","2.889782428741455"
"176","2.8629727363586426","2.8629727363586426","2.8629727363586426"
"178","2.892402172088623","2.892402172088623","2.892402172088623"
"185","2.8944053649902344","2.8944053649902344","2.8944053649902344"
"193","2.8877334594726562","2.8877334594726562","2.8877334594726562"
"195","2.8636679649353027","2.8636679649353027","2.8636679649353027"
"212","2.822636604309082","2.822636604309082","2.822636604309082"
"222","2.6781084537506104","2.6781084537506104","2.6781084537506104"
"225","2.9045822620391846","2.9045822620391846","2.9045822620391846"
"226","2.616914987564087","2.616914987564087","2.616914987564087"
"230","2.7352216243743896","2.7352216243743896","2.7352216243743896"
"231","2.8210418224334717","2.8210418224334717","2.8210418224334717"
"234","2.7825093269348145","2.7825093269348145","2.7825093269348145"
"236","2.752307891845703","2.752307891845703","2.752307891845703"
"244","2.8114519119262695","2.8114519119262695","2.8114519119262695"
"245","2.7386574745178223","2.7386574745178223","2.7386574745178223"
"247","2.6349148750305176","2.6349148750305176","2.6349148750305176"
"248","2.5965123176574707","2.5965123176574707","2.5965123176574707"
"250","2.6872494220733643","2.6872494220733643","2.6872494220733643"
"259","2.6835734844207764","2.6835734844207764","2.6835734844207764"
"266","2.5900447368621826","2.5900447368621826","2.5900447368621826"
"270","2.7201523780822754","2.7201523780822754","2.7201523780822754"
"274","2.7485837936401367","2.7485837936401367","2.7485837936401367"
"277","2.6848831176757812","2.6848831176757812","2.6848831176757812"
"278","2.6158154010772705","2.6158154010772705","2.6158154010772705"
"281","2.7084217071533203","2.7084217071533203","2.7084217071533203"
"284","2.6627495288848877","2.6627495288848877","2.6627495288848877"
"290","2.6051406860351562","2.6051406860351562","2.6051406860351562"
"292","2.71329927444458","2.71329927444458","2.71329927444458"
"295","2.6423847675323486","2.6423847675323486","2.6423847675323486"
"301","2.6757171154022217","2.6757171154022217","2.6757171154022217"
"303","2.427863121032715","2.427863121032715","2.427863121032715"
"304","2.6088476181030273","2.6088476181030273","2.6088476181030273"
"305","2.5927228927612305","2.5927228927612305","2.5927228927612305"
"309","2.7216689586639404","2.7216689586639404","2.7216689586639404"
"314","2.6062963008880615","2.6062963008880615","2.6062963008880615"
"317","2.6665568351745605","2.6665568351745605","2.6665568351745605"
"318","2.650944232940674","2.650944232940674","2.650944232940674"
"332","2.585513114929199","2.585513114929199","2.585513114929199"
"337","2.590644359588623","2.590644359588623","2.590644359588623"
"353","2.666109561920166","2.666109561920166","2.666109561920166"
"361","2.526348829269409","2.526348829269409","2.526348829269409"
"365","2.469233512878418","2.469233512878418","2.469233512878418"
"368","2.508491039276123","2.508491039276123","2.508491039276123"
"372","2.5143795013427734","2.5143795013427734","2.5143795013427734"
"377","2.4770071506500244","2.4770071506500244","2.4770071506500244"
"378","2.61270809173584","2.61270809173584","2.61270809173584"
"382","2.6148643493652344","2.6148643493652344","2.6148643493652344"
"389","2.587801456451416","2.587801456451416","2.587801456451416"
"390","2.5231821537017822","2.5231821537017822","2.5231821537017822"
"392","2.467581272125244","2.467581272125244","2.467581272125244"
"397","2.490525722503662","2.490525722503662","2.490525722503662"
"405","2.494901657104492","2.494901657104492","2.494901657104492"
"414","2.486055850982666","2.486055850982666","2.486055850982666"
"425","2.612841844558716","2.612841844558716","2.612841844558716"
"430","2.4688785076141357","2.4688785076141357","2.4688785076141357"
"435","2.418121814727783","2.418121814727783","2.418121814727783"
"441","2.4830265045166016","2.4830265045166016","2.4830265045166016"
"447","2.52573823928833","2.52573823928833","2.52573823928833"
"455","2.383005142211914","2.383005142211914","2.383005142211914"
"458","2.5285000801086426","2.5285000801086426","2.5285000801086426"
"460","2.458505630493164","2.458505630493164","2.458505630493164"
"461","2.3743062019348145","2.3743062019348145","2.3743062019348145"
"462","2.4233808517456055","2.4233808517456055","2.4233808517456055"
"463","2.4850497245788574","2.4850497245788574","2.4850497245788574"
"465","2.496678113937378","2.496678113937378","2.496678113937378"
"468","2.499879837036133","2.499879837036133","2.499879837036133"
"472","2.4658970832824707","2.4658970832824707","2.4658970832824707"
"475","2.490844249725342","2.490844249725342","2.490844249725342"
"477","2.5207254886627197","2.5207254886627197","2.5207254886627197"
"482","2.423539400100708","2.423539400100708","2.423539400100708"
